[2021-07-09 11:22:37,446][INFO][adduser_test.py]:进行注册动作
[2021-07-09 11:23:09,288][ERROR][adduser_test.py]:注册失败用例，第9条出错
[2021-07-09 11:23:17,213][INFO][adduser_test.py]:进行注册动作
[2021-07-09 11:23:24,615][INFO][adduser_test.py]:进行注册动作
[2021-07-09 11:23:42,611][INFO][adduser_test.py]:进行注册动作
[2021-07-09 11:24:00,431][INFO][adduser_test.py]:进行注册动作
[2021-07-09 11:24:18,306][INFO][adduser_test.py]:进行注册动作
[2021-07-09 11:24:36,203][INFO][adduser_test.py]:进行注册动作
[2021-07-09 11:25:04,587][INFO][adduser_test.py]:进行注册动作
[2021-07-09 11:25:36,358][ERROR][adduser_test.py]:注册失败用例，第19条出错
[2021-07-09 11:25:44,177][INFO][adduser_test.py]:进行注册动作
[2021-07-09 11:26:15,972][ERROR][adduser_test.py]:注册失败用例，第20条出错
[2021-07-09 11:26:23,455][INFO][adduser_test.py]:进行注册动作
[2021-07-09 11:26:55,197][ERROR][adduser_test.py]:注册失败用例，第21条出错
[2021-07-09 11:27:02,573][INFO][adduser_test.py]:进行注册动作
[2021-07-09 11:27:31,010][INFO][adduser_test.py]:进行注册动作
[2021-07-09 11:28:02,761][ERROR][adduser_test.py]:注册失败用例，第23条出错
[2021-07-09 11:28:10,154][INFO][login_text.py]:进行登录动作
[2021-07-09 11:28:41,503][INFO][login_text.py]:进行登录动作
[2021-07-09 11:29:12,858][INFO][login_text.py]:进行登录动作
[2021-07-09 11:29:23,024][INFO][login_text.py]:进行登录动作
[2021-07-09 11:29:33,215][INFO][login_text.py]:进行登录动作
[2021-07-09 11:30:05,029][ERROR][login_text.py]:登录失败用例，第31条出错
[2021-07-09 11:30:15,300][INFO][login_text.py]:进行登录动作
[2021-07-09 11:30:47,037][ERROR][login_text.py]:登录失败用例，第31条出错
[2021-07-09 11:30:59,173][INFO][login_text.py]:进行登录动作
[2021-07-09 11:31:30,999][ERROR][login_text.py]:登录失败用例，第29条出错
[2021-07-09 11:31:43,302][INFO][login_text.py]:进行登录动作
[2021-07-09 11:32:04,594][ERROR][login_text.py]:登录失败用例，第30条出错
[2021-07-09 11:32:16,994][INFO][login_text.py]:进行登录动作
[2021-07-09 11:32:28,895][INFO][login_text.py]:进行登录动作
[2021-07-09 11:32:39,447][ERROR][login_text.py]:登陆成功用例，第27条出错
[2021-07-09 11:32:51,727][INFO][login_text.py]:进行重置动作
[2021-07-09 11:33:02,114][INFO][login_text.py]:进行重置动作
[2021-07-09 11:33:22,913][INFO][login_text.py]:进行重置动作
[2021-07-09 11:33:54,654][ERROR][login_text.py]:第50条用例出错
[2021-07-09 11:34:05,204][INFO][login_text.py]:进行重置动作
[2021-07-09 11:34:26,299][INFO][login_text.py]:进行重置动作
[2021-07-09 11:34:47,166][INFO][login_text.py]:进行重置动作
[2021-07-09 11:34:57,759][ERROR][login_text.py]:第53条用例出错
[2021-07-09 11:35:08,295][INFO][login_text.py]:进行重置动作
[2021-07-09 11:35:40,047][ERROR][login_text.py]:第54条用例出错
[2021-07-09 11:35:50,592][INFO][login_text.py]:进行重置动作
[2021-07-09 11:36:22,439][ERROR][login_text.py]:第55条用例出错
[2021-07-09 11:36:32,940][INFO][login_text.py]:进行重置动作
[2021-07-09 11:37:04,676][ERROR][login_text.py]:第56条用例出错
[2021-07-09 11:37:15,506][INFO][login_text.py]:进行重置动作
[2021-07-09 11:37:46,918][INFO][login_text.py]:进行重置动作
[2021-07-09 11:38:18,719][ERROR][login_text.py]:第58条用例出错
